,cpu_pwr,cpu_temp,gpu_pwr,gpu_temp,timestamp
463,0.245,28,0.122,27,1612813050.06898
464,0.164,28,0,28.5,1612813051.12879
465,0.164,28,0.041,26.5,1612813052.18623
466,0.164,28,0.041,27,1612813053.25176
467,0.164,27.5,0.041,26.5,1612813054.31363
468,0.164,28,0.082,26.5,1612813055.3718
469,0.164,27.5,0.041,27,1612813056.43072
470,0.164,28,0.041,26.5,1612813057.48985
471,0.246,28,0.081,27,1612813058.54713
472,0.164,28,0,28.5,1612813059.60359
473,0.164,28.5,0,28.5,1612813060.65831
474,0.164,28.5,0.041,27,1612813061.72211
475,0.164,28,0.041,27,1612813062.77932
476,0.164,27.5,0.041,26.5,1612813063.83555
477,0.246,27.5,0.081,26.5,1612813064.88864
478,0.164,27.5,0.041,26.5,1612813065.94527
479,0.205,27.5,0.082,26.5,1612813067.00676
480,0.164,27.5,0,26.5,1612813068.08255
481,0.164,27.5,0,28.5,1612813069.14348
482,0.164,27.5,0.041,26.5,1612813070.20489
483,0.164,27.5,0.041,26.5,1612813071.26403
484,0.164,28,0.041,27,1612813072.32484
485,0.205,27.5,0.122,26.5,1612813073.38573
486,0.164,27.5,0.041,26.5,1612813074.44167
487,0.246,27.5,0.04,26,1612813075.48985
488,0.287,27.5,0.081,26.5,1612813076.53957
489,0.164,27.5,0,28.5,1612813077.59664
490,0.164,27.5,0.041,26.5,1612813078.66531
491,0.164,27.5,0.041,26.5,1612813079.72897
492,0.164,27.5,0.041,27,1612813080.78887
493,0.164,27,0.082,26.5,1612813081.85693
494,0.164,27.5,0.041,27,1612813082.91572
495,0.164,27.5,0.041,26.5,1612813083.97915
496,0.205,27.5,0.081,26.5,1612813085.03368
497,0.164,27.5,0,28.5,1612813086.08876
498,0.164,27.5,0.041,28.5,1612813087.14763
499,0.164,27.5,0.041,26.5,1612813088.20189
500,0.164,27,0.041,26.5,1612813089.26072
501,0.164,27.5,0.082,26.5,1612813090.31845
502,0.164,27,0.041,26.5,1612813091.37524
503,0.164,27,0.041,26,1612813092.43183
504,0.205,27.5,0.081,26.5,1612813093.50143
505,0.164,27,0,28.5,1612813094.55837
506,0.164,27.5,0,28.5,1612813095.61958
507,0.164,27,0.041,26.5,1612813096.68068
508,0.205,27,0.041,26.5,1612813097.73872
509,0.164,27,0.041,26.5,1612813098.79592
510,0.205,27.5,0.122,26.5,1612813099.83961
511,0.164,27,0.041,26.5,1612813100.89955
512,0.164,27.5,0.082,26.5,1612813101.95671
513,0.164,27,0,26.5,1612813103.01816
514,0.164,27,0,28.5,1612813104.08348
515,0.164,27,0.041,26.5,1612813105.14348
516,0.164,27.5,0.041,26.5,1612813106.19909
517,0.164,27.5,0.041,26.5,1612813107.25457
518,0.164,27,0.122,26,1612813108.31794
519,0.164,27,0.041,26,1612813109.38933
520,0.164,27.5,0.041,26,1612813110.44042
521,0.287,27.5,0.122,26.5,1612813111.48858
522,0.164,27.5,0,28.5,1612813112.55365
523,0.164,27.5,0.041,26,1612813113.61691
524,0.164,27,0.04,26,1612813114.67335
525,0.205,27.5,0.041,26,1612813115.73307
526,0.164,27.5,0.082,26.5,1612813116.78815
527,0.164,27.5,0.041,26.5,1612813117.84794
528,0.164,27,0.041,26.5,1612813118.9077
529,0.205,27.5,0.122,26.5,1612813119.9611
530,0.164,27,0,28,1612813121.01485
531,0.164,27,0,28.5,1612813122.07622
532,0.164,27,0.041,26.5,1612813123.13145
533,0.164,27,0.041,26,1612813124.18762
534,0.164,27.5,0.082,26,1612813125.24937
535,0.164,27,0.041,26.5,1612813126.30664
536,0.164,27,0.041,26,1612813127.36678
537,0.205,27.5,0.081,26,1612813128.42417
538,0.164,27,0,28,1612813129.47906
539,0.164,27,0,28,1612813130.53481
540,0.164,27,0.041,26,1612813131.59806
541,0.164,27,0.041,26,1612813132.65681
542,0.164,27,0.041,26,1612813133.71606
543,0.205,27,0.163,26,1612813134.77861
544,0.164,27,0.041,26,1612813135.84068
545,0.164,27,0.082,26,1612813136.89919
546,0.164,27,0,26,1612813137.95697
547,0.164,27,0,28,1612813139.01115
548,0.164,27,0.041,25.5,1612813140.05871
549,0.164,27,0.041,26,1612813141.1184
550,0.164,27,0.041,26.5,1612813142.18123
551,0.204,27.5,0.122,26,1612813143.23677
552,0.164,27,0.041,26,1612813144.29089
553,0.164,27,0.041,26,1612813145.34827
554,0.164,27.5,0.04,26,1612813146.40656
555,0.164,27,0,28,1612813147.46597
