,cpu_pwr,cpu_temp,gpu_pwr,gpu_temp,timestamp,tot_pwr
328,0.358,52.5,4.451,50.5,1617814991.8158865,7.71
329,0.91,48.5,0.0,48.0,1617814992.8631823,3.596
330,1.75,48.5,0.203,47.5,1617814993.913242,4.68
331,0.361,50.5,3.445,49.5,1617814994.9592423,6.69
332,0.355,52.5,4.723,50.0,1617814996.0057528,8.108
333,0.356,53.0,4.817,50.5,1617814997.052908,8.134
334,0.358,51.0,4.166,50.0,1617814998.1096947,7.962
335,0.4,51.5,4.073,50.0,1617814999.1573625,7.348
336,0.357,52.0,4.706,50.5,1617815000.203471,8.042
337,1.472,50.0,0.489,48.5,1617815001.2621098,5.063
338,0.95,48.5,0.0,48.0,1617815002.3128476,3.679
339,0.599,50.5,3.229,49.5,1617815003.3707151,6.937
340,0.399,51.5,4.106,49.5,1617815004.4171612,7.256
341,0.395,52.0,4.62,50.5,1617815005.4646955,8.016
342,0.36,51.5,4.193,50.0,1617815006.5120578,7.268
343,0.362,51.0,3.582,49.5,1617815007.5624537,6.521
344,0.357,52.0,4.753,50.0,1617815008.612163,7.923
345,0.394,52.0,4.928,50.5,1617815009.6603827,8.318
346,1.071,48.5,0.123,48.5,1617815010.710663,3.756
347,0.946,48.0,0.0,48.0,1617815011.7642245,3.58
348,0.36,50.5,3.565,49.5,1617815012.8112369,6.72
349,0.358,51.5,4.093,49.5,1617815013.8577273,7.42
350,0.428,52.0,5.011,51.0,1617815014.9101715,8.973
351,0.323,51.0,3.588,50.0,1617815015.9550242,6.521
352,0.32,51.5,4.16,50.5,1617815017.0013435,7.348
353,0.357,51.5,4.588,50.5,1617815018.0501473,8.068
354,0.32,51.5,4.233,50.5,1617815019.0978835,7.388
355,0.993,48.5,0.0,48.0,1617815020.1478636,3.679
356,0.6,50.5,3.36,49.0,1617815021.1949785,6.857
357,0.318,51.0,4.173,50.0,1617815022.244934,7.233
358,0.355,52.0,4.683,50.5,1617815023.2912917,8.029
359,0.359,51.5,4.1,50.5,1617815024.338987,7.444
360,0.322,50.5,3.577,49.5,1617815025.385337,6.671
361,0.32,51.5,4.193,50.5,1617815026.4332986,7.336
362,0.35,53.0,5.175,51.5,1617815027.4866567,9.245
363,0.949,48.5,0.206,48.0,1617815028.5388296,4.08
364,0.865,48.0,0.0,48.0,1617815029.5904114,3.856
365,0.401,50.0,3.565,49.5,1617815030.6464615,6.69
366,0.358,51.5,4.179,50.0,1617815031.6958082,7.284
367,0.389,52.5,5.127,51.0,1617815032.7508414,8.949
368,0.403,50.5,3.588,50.0,1617815033.7959058,6.41
369,0.36,51.0,4.04,50.0,1617815034.8443453,7.24
370,0.357,52.5,4.785,50.5,1617815035.893488,8.002
371,0.32,52.0,4.233,50.5,1617815036.93834,7.268
372,0.787,48.5,0.0,48.0,1617815037.984005,3.478
373,0.895,49.0,1.341,48.0,1617815039.0253057,4.836
374,0.4,51.5,3.793,50.0,1617815040.0674496,7.068
375,0.473,52.5,4.723,50.5,1617815041.1120937,8.108
376,0.394,52.0,4.809,51.0,1617815042.159323,8.2
377,0.441,51.0,3.485,50.0,1617815043.204665,6.861
378,0.36,51.0,3.987,50.0,1617815044.2539797,7.336
379,0.432,52.5,4.904,51.0,1617815045.307611,8.591
380,1.796,50.0,0.244,48.0,1617815046.3559961,4.784
381,0.91,48.0,0.0,48.5,1617815047.40313,3.715
382,0.554,50.0,4.113,50.0,1617815048.466,7.658
383,0.319,51.0,4.186,50.0,1617815049.516692,7.216
384,0.355,51.5,4.809,50.5,1617815050.5678723,8.2
385,1.537,50.0,2.14,50.0,1617815051.6146545,6.33
386,0.361,51.0,3.691,50.0,1617815052.6630294,7.08
387,0.357,51.5,4.714,51.0,1617815053.709843,8.068
388,0.357,53.0,4.793,50.5,1617815054.7597535,8.108
389,0.992,48.5,0.0,48.5,1617815055.805076,3.478
390,2.231,49.0,0.0,47.5,1617815056.8600354,4.884
391,0.321,50.0,3.571,49.5,1617815057.9075823,6.65
392,0.356,52.0,4.738,50.0,1617815058.9561858,8.003
393,0.394,52.0,4.951,51.0,1617815060.005182,8.448
394,0.317,50.5,4.332,50.5,1617815061.0668,7.71
395,0.4,51.5,4.153,50.5,1617815062.1124885,7.268
396,0.435,52.0,4.785,50.5,1617815063.1602266,8.042
397,1.465,51.0,0.936,48.5,1617815064.2112482,5.218
398,0.908,48.5,0.0,48.5,1617815065.2653844,3.88
399,0.56,50.5,3.554,50.0,1617815066.307514,6.72
400,0.398,51.5,4.173,50.0,1617815067.3553193,7.352
