,cpu_pwr,cpu_temp,gpu_pwr,gpu_temp,timestamp,tot_pwr
276,0.315,50.0,4.25,48.0,1614746952.8503315,7.242
277,0.311,50.0,4.988,48.0,1614746953.900095,8.549
278,0.725,47.0,0.322,45.5,1614746954.9474058,3.462
279,0.927,46.5,0.0,47.0,1614746955.991179,3.346
280,1.064,49.5,3.424,47.5,1614746957.0308986,7.096
281,0.315,49.0,3.909,47.5,1614746958.0811787,6.859
282,0.312,51.0,4.88,48.0,1614746959.1323225,8.471
283,0.436,49.0,3.372,48.0,1614746960.1756625,6.031
284,0.355,50.0,4.021,47.5,1614746961.2262294,6.831
285,0.353,50.0,4.472,48.0,1614746962.2777286,7.544
286,0.355,50.0,4.021,48.0,1614746963.3244727,6.978
287,0.885,46.5,0.0,47.5,1614746964.366272,3.623
288,0.673,49.5,3.01,47.5,1614746965.4080684,6.328
289,0.355,49.5,3.902,48.0,1614746966.4560888,6.859
290,1.057,50.5,4.496,48.0,1614746967.49506,8.094
291,0.393,50.5,4.243,48.5,1614746968.5445514,7.309
292,0.316,49.5,3.367,48.0,1614746969.5955002,6.18
293,0.355,50.0,3.942,48.0,1614746970.642683,6.859
294,0.351,50.5,4.801,48.5,1614746971.7007995,8.329
295,1.64,48.0,0.2,46.5,1614746972.7505846,4.6
296,0.766,47.0,0.161,46.5,1614746973.792379,3.542
297,0.394,48.5,3.193,47.5,1614746974.837696,6.712
298,0.315,50.0,3.981,48.0,1614746975.887609,6.899
299,0.354,50.5,4.479,48.5,1614746976.9345045,7.466
300,1.426,49.0,2.495,48.0,1614746977.9757938,6.328
301,0.355,50.0,3.672,48.0,1614746979.022875,6.633
302,0.314,51.5,4.55,48.5,1614746980.072038,7.611
303,0.353,51.0,4.629,48.5,1614746981.1278832,7.584
304,0.845,47.5,0.161,46.5,1614746982.1720433,3.663
305,1.52,47.5,0.56,46.0,1614746983.2140324,4.6
306,0.357,49.5,3.327,48.0,1614746984.2592058,6.18
307,0.353,51.0,4.59,49.0,1614746985.31198,7.571
308,0.353,51.0,4.668,49.0,1614746986.3660975,7.611
309,0.746,50.5,3.883,48.5,1614746987.4143531,7.728
310,0.315,50.0,3.83,48.5,1614746988.464396,6.899
311,0.314,50.5,4.629,49.0,1614746989.5126054,7.544
312,1.277,49.0,0.798,47.5,1614746990.5645545,4.832
313,0.845,47.5,0.161,46.5,1614746991.6156902,3.502
314,0.551,50.0,3.778,49.0,1614746992.660693,7.36
315,0.315,50.5,4.021,48.5,1614746993.7057521,6.82
316,0.314,51.5,4.558,49.0,1614746994.7493155,7.544
317,0.394,51.0,3.981,48.5,1614746995.7924576,6.899
318,0.357,50.0,3.406,48.5,1614746996.8462777,6.14
319,0.314,51.5,4.519,49.5,1614746997.8954377,7.584
320,0.352,51.0,4.739,49.0,1614746998.9444556,7.951
321,0.845,48.5,0.161,46.5,1614746999.9932203,3.737
322,0.925,47.5,0.201,46.5,1614747001.0402055,3.582
323,0.357,49.5,3.406,48.5,1614747002.0872655,6.1
324,0.354,50.5,4.44,49.0,1614747003.132296,7.466
325,0.312,51.5,4.77,49.5,1614747004.1789124,8.055
326,0.354,51.0,4.054,49.5,1614747005.2254689,7.163
327,0.355,51.0,4.06,49.0,1614747006.2738538,6.791
328,0.314,52.0,4.59,49.5,1614747007.3214786,7.571
329,0.315,51.5,4.06,49.0,1614747008.3701727,6.859
330,0.767,47.5,0.12,47.0,1614747009.4135807,3.462
331,0.594,50.5,3.124,48.5,1614747010.4591458,6.367
332,0.355,51.0,3.948,49.0,1614747011.5068138,6.791
333,0.353,52.0,4.55,49.0,1614747012.5592947,7.466
334,0.315,51.0,4.139,49.5,1614747013.6141837,6.899
335,0.316,50.0,3.441,49.0,1614747014.657442,6.328
336,0.315,50.5,3.824,49.0,1614747015.708439,6.859
337,0.312,52.0,4.723,49.5,1614747016.7610624,8.432
338,1.52,49.5,0.44,48.0,1614747017.8004622,4.326
339,0.846,48.5,0.04,47.0,1614747018.8443997,3.427
340,0.395,50.5,3.316,49.0,1614747019.8857358,6.555
341,0.355,51.0,4.06,49.5,1614747020.9352198,6.859
342,0.353,52.5,4.7,50.0,1614747021.987829,8.133
343,0.831,50.5,3.169,49.5,1614747023.0292826,6.259
344,0.315,50.5,3.909,49.5,1614747024.0813658,6.78
345,0.353,52.0,4.433,50.0,1614747025.129192,7.544
346,0.353,52.0,4.504,49.5,1614747026.182747,7.493
347,0.845,48.5,0.08,47.0,1614747027.2259116,3.462
348,1.277,49.0,0.76,48.0,1614747028.2629395,4.56
349,0.356,50.5,3.401,49.0,1614747029.3101358,6.209
350,0.353,52.0,4.621,49.5,1614747030.3616002,7.716
351,0.313,52.0,4.66,50.0,1614747031.413241,7.676
352,0.353,50.5,4.08,49.0,1614747032.46738,7.23
353,0.354,50.5,3.784,49.0,1614747033.508081,6.899
354,0.353,51.0,4.472,49.5,1614747034.5611646,7.454
355,1.317,49.0,0.56,47.5,1614747035.603062,4.48
356,0.806,48.0,0.0,46.5,1614747036.6485038,3.381
357,1.173,51.5,4.216,49.0,1614747037.6907625,8.276
358,0.315,50.5,3.824,48.5,1614747038.739492,6.927
359,0.353,51.0,4.621,49.5,1614747039.7952461,7.689
360,0.355,49.5,3.361,49.0,1614747040.8432438,6.021
361,0.316,49.5,3.243,48.5,1614747041.8910756,6.17
362,0.353,51.5,4.59,49.0,1614747042.943466,7.493
363,0.352,51.5,4.692,49.5,1614747043.9930544,7.794
364,0.766,48.0,0.12,48.5,1614747045.037305,3.381
365,0.924,49.0,0.0,48.5,1614747046.1099005,4.672
366,0.355,49.5,3.361,48.0,1614747047.1561477,6.288
367,0.354,50.5,4.44,48.5,1614747048.2113209,7.387
368,0.35,50.5,4.872,48.5,1614747049.264474,8.496
369,0.435,49.0,2.966,48.0,1614747050.315281,6.515
370,0.315,50.5,3.942,48.0,1614747051.3621504,6.82
371,0.353,50.5,4.433,48.5,1614747052.4149425,7.493
372,0.315,50.0,4.021,48.0,1614747053.4606857,6.82
373,0.805,47.5,0.04,47.5,1614747054.508115,3.542
374,0.435,49.0,3.356,48.0,1614747055.5573583,6.515
375,0.315,50.0,3.981,48.0,1614747056.6004512,6.859
376,0.314,50.0,4.433,48.0,1614747057.6501696,7.493
377,0.354,50.0,4.014,48.0,1614747058.6973858,6.899
378,0.356,49.5,3.356,47.5,1614747059.7535493,6.436
379,0.354,49.5,3.784,48.0,1614747060.7994404,6.78
